City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
104,Bambous Virieux,MU,2021-11-26 00:43:17,-20.3428,57.7575,73.65,88,40,3.44,scattered clouds
105,Naushki,RU,2021-11-26 00:43:18,50.3828,106.1056,8.22,95,26,3.65,scattered clouds
106,Tukrah,LY,2021-11-26 00:43:18,32.5341,20.5791,70.68,41,10,30.8,clear sky
107,Cowra,AU,2021-11-26 00:43:19,-33.8333,148.6833,61.09,87,100,19.84,overcast clouds
108,Luanda,AO,2021-11-26 00:39:24,-8.8368,13.2343,77.38,81,100,7.45,overcast clouds
109,Berlevag,NO,2021-11-26 00:43:19,70.8578,29.0864,21.29,77,99,10.56,overcast clouds
110,Bandarbeyla,SO,2021-11-26 00:43:20,9.4942,50.8122,78.67,78,98,15.28,overcast clouds
111,Rafaela,AR,2021-11-26 00:43:20,-31.2503,-61.4867,73.06,63,0,7.0,clear sky
112,Port Lincoln,AU,2021-11-26 00:43:20,-34.7333,135.8667,61.02,51,84,19.42,broken clouds
113,Binzhou,CN,2021-11-26 00:43:21,37.3667,118.0167,44.22,55,0,5.12,clear sky
114,San Patricio,US,2021-11-26 00:43:21,28.017,-97.5169,57.18,68,100,14.94,overcast clouds
115,Iqaluit,CA,2021-11-26 00:39:06,63.7506,-68.5145,22.73,74,75,6.91,broken clouds
116,Omboue,GA,2021-11-26 00:43:22,-1.5746,9.2618,77.63,87,100,4.79,light rain
117,Sivaki,RU,2021-11-26 00:43:22,52.6333,126.75,11.57,77,80,6.87,broken clouds
118,Saint-Philippe,RE,2021-11-26 00:39:18,-21.3585,55.7679,78.39,83,42,1.7,light rain
119,Namtsy,RU,2021-11-26 00:43:23,62.7161,129.6658,-14.69,99,95,1.54,overcast clouds
120,Komsomolskiy,UZ,2021-11-26 00:43:24,40.4272,71.7189,48.92,57,100,4.61,haze
121,Mangan,IN,2021-11-26 00:43:24,27.5167,88.5333,56.77,88,98,2.33,overcast clouds
122,Rhyl,GB,2021-11-26 00:43:25,53.3196,-3.4886,46.0,86,100,21.61,light rain
123,Bubaque,GW,2021-11-26 00:43:25,11.2833,-15.8333,83.5,70,100,10.45,overcast clouds
124,Bontang,ID,2021-11-26 00:38:54,0.1333,117.5,81.82,77,100,4.47,overcast clouds
125,Aswan,EG,2021-11-26 00:38:45,24.0934,32.907,69.39,31,6,8.81,clear sky
