City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Jacareacanga,BR,2021-11-23 05:43:12,-6.2222,-57.7528,296.19,97,100,0.76
131,Sibolga,ID,2021-11-23 05:43:13,1.7427,98.7792,302.85,64,100,3.01
132,Labuhan,ID,2021-11-23 05:43:13,-6.8844,112.2051,303.4,68,65,3.7
133,Barrow,US,2021-11-23 05:43:14,71.2906,-156.7887,254.16,78,90,2.06
134,Saint-Philippe,RE,2021-11-23 05:43:14,-21.3585,55.7679,301.9,63,27,4.59
135,Killybegs,IE,2021-11-23 05:43:15,54.6333,-8.45,277.29,78,82,2.62
136,Carnarvon,AU,2021-11-23 05:43:15,-24.8667,113.6333,298.19,53,0,10.29
137,Tambopata,PE,2021-11-23 05:44:15,-12.7333,-69.1833,296.29,87,100,0.58
138,Nuuk,GL,2021-11-23 05:44:16,64.1835,-51.7216,267.49,79,20,1.54
139,Daokou,CN,2021-11-23 05:44:17,35.5639,114.5058,283.92,21,0,2.72
140,Fare,PF,2021-11-23 05:44:17,-16.7,-151.0167,300.19,76,100,4.88
141,Acapulco,MX,2021-11-23 05:41:53,16.8634,-99.8901,298.5,84,5,2.42
142,Upernavik,GL,2021-11-23 05:44:18,72.7868,-56.1549,256.63,86,9,2.66
143,Gazli,UZ,2021-11-23 05:44:18,40.1333,63.45,287.19,24,99,2.87
144,Marapanim,BR,2021-11-23 05:44:19,-0.7175,-47.6997,296.98,90,54,1.04
145,Kirakira,SB,2021-11-23 05:44:19,-10.4544,161.9205,301.08,80,91,3.06
146,Filadelfia,US,2021-11-23 05:44:09,39.9523,-75.1638,275.34,55,1,1.79
147,Tahoua,NE,2021-11-23 05:44:20,14.8888,5.2692,297.14,22,0,4.12
148,Qaanaaq,GL,2021-11-23 05:44:20,77.484,-69.3632,251.39,87,97,3.6
149,Molina,CL,2021-11-23 05:44:21,-35.1167,-71.2833,291.0,55,0,2.57
150,San Francisco,US,2021-11-23 05:39:51,37.7749,-122.4194,288.52,78,20,1.79
151,Beringovskiy,RU,2021-11-23 05:44:22,63.05,179.3167,253.06,93,95,6.0
152,Sembe,CG,2021-11-23 05:44:22,1.6481,14.5806,295.45,92,67,0.29
153,Tuktoyaktuk,CA,2021-11-23 05:44:23,69.4541,-133.0374,252.15,77,75,5.66
154,Eyl,SO,2021-11-23 05:44:23,7.9803,49.8164,301.65,50,75,3.93
155,Sarata,UA,2021-11-23 05:44:24,46.0197,29.6657,280.08,83,100,2.68
156,Bathsheba,BB,2021-11-23 05:44:24,13.2167,-59.5167,299.49,78,40,6.17
157,Mandalgovi,MN,2021-11-23 05:44:25,45.7625,106.2708,271.0,25,38,5.28
158,Port Elizabeth,ZA,2021-11-23 05:44:25,-33.918,25.5701,290.31,72,90,5.14
159,Bismarck,US,2021-11-23 05:40:29,46.8083,-100.7837,275.86,73,1,2.24
160,Saint Anthony,US,2021-11-23 05:44:26,45.0205,-93.218,272.12,59,1,1.34
161,Dabat,ET,2021-11-23 05:44:26,12.9842,37.765,289.0,47,32,1.98
162,Odweyne,SO,2021-11-23 05:44:27,9.4092,45.064,298.07,17,80,7.01
163,Daru,PG,2021-11-23 05:41:28,-9.0763,143.2092,302.52,70,36,4.12
164,Doha,QA,2021-11-23 05:44:28,25.2867,51.5333,299.09,86,20,2.57
165,Ambajogai,IN,2021-11-23 05:44:28,18.7333,76.3833,301.4,58,60,2.38
166,Leningradskiy,RU,2021-11-23 05:44:29,69.3833,178.4167,246.89,88,23,1.92
167,Guerrero Negro,MX,2021-11-23 05:43:18,27.9769,-114.0611,293.13,62,100,3.99
168,Lavrentiya,RU,2021-11-23 05:44:30,65.5833,-171.0,253.83,93,8,4.51
169,Grants,US,2021-11-23 05:44:30,35.1473,-107.8514,267.28,45,1,2.06
170,Goure,NE,2021-11-23 05:44:31,13.9835,10.2704,298.16,20,22,3.9
171,Aklavik,CA,2021-11-23 05:44:31,68.2191,-135.0107,248.61,94,100,5.0
172,Saldanha,ZA,2021-11-23 05:44:31,-33.0117,17.9442,290.18,69,6,5.42
173,Solnechnyy,RU,2021-11-23 05:44:32,50.7214,136.6319,270.36,98,100,3.57
174,Kavaratti,IN,2021-11-23 05:44:32,10.5669,72.642,300.53,75,82,3.26
175,Severnyy,RU,2021-11-23 05:44:33,50.677,36.5532,270.17,80,0,3.0
176,Thompson,CA,2021-11-23 05:44:34,55.7435,-97.8558,254.24,84,90,1.54
177,Alexandria,EG,2021-11-23 05:44:34,31.2156,29.9553,288.45,88,10,1.03
178,Nome,US,2021-11-23 05:44:34,64.5011,-165.4064,260.19,47,1,8.23
179,Chokurdakh,RU,2021-11-23 05:44:35,70.6333,147.9167,250.51,98,100,2.57
180,Igrim,RU,2021-11-23 05:44:35,63.1906,64.4162,262.46,95,98,2.04
181,Maniwaki,CA,2021-11-23 05:44:36,46.3834,-75.966,269.45,63,48,4.12
182,Tiksi,RU,2021-11-23 05:45:36,71.6872,128.8694,243.25,97,51,3.38
183,Raudeberg,NO,2021-11-23 05:45:37,61.9875,5.1352,279.79,95,100,2.68
184,Ancud,CL,2021-11-23 05:45:37,-41.8697,-73.8203,281.16,92,49,1.39
185,Kilgore,US,2021-11-23 05:45:38,32.3863,-94.8758,280.11,93,1,3.6
186,Zhiryatino,RU,2021-11-23 05:45:38,53.2228,33.7306,267.33,73,68,1.94
187,Batemans Bay,AU,2021-11-23 05:45:39,-35.7167,150.1833,295.92,73,100,4.57
188,Berlevag,NO,2021-11-23 05:45:39,70.8578,29.0864,270.24,56,100,4.28
189,Zhuhai,CN,2021-11-23 05:45:40,22.2769,113.5678,291.47,59,40,8.75
190,Flinders,AU,2021-11-23 05:45:40,-34.5833,150.8552,296.03,74,100,1.79
191,Tura,IN,2021-11-23 05:45:41,25.5198,90.2201,298.13,42,0,2.0
192,Coahuayana,MX,2021-11-23 05:45:41,18.7333,-103.6833,296.65,88,55,1.46
193,Sao Joao Da Barra,BR,2021-11-23 05:45:41,-21.6403,-41.0511,292.31,79,37,2.01
194,Karaidel,RU,2021-11-23 05:45:42,55.8337,56.9069,266.98,94,100,6.13
195,Saint Andrews,US,2021-11-23 05:43:09,34.0454,-81.1293,283.0,53,75,2.57
196,Kalmunai,LK,2021-11-23 05:45:43,7.4167,81.8167,300.82,79,100,4.38
197,Wenling,CN,2021-11-23 05:44:06,28.3669,121.36,284.42,43,7,2.77
198,Esperance,AU,2021-11-23 05:45:43,-33.8667,121.9,290.06,69,92,7.37
199,Lesnikovo,RU,2021-11-23 05:45:44,55.2822,65.3175,269.3,83,98,6.52
200,Kifri,IQ,2021-11-23 05:45:44,34.6959,44.9661,291.62,49,0,2.91
201,San Patricio,US,2021-11-23 05:45:45,28.017,-97.5169,291.39,56,94,2.96
202,Marsh Harbour,BS,2021-11-23 05:45:46,26.5412,-77.0636,297.31,74,8,6.81
203,Davila,PH,2021-11-23 05:45:46,18.4726,120.5763,304.14,78,18,12.16
204,Warwick,US,2021-11-23 05:45:47,41.7001,-71.4162,277.22,65,75,4.63
205,Port-Gentil,GA,2021-11-23 05:45:47,-0.7193,8.7815,299.13,89,90,1.54
206,Shimoda,JP,2021-11-23 05:45:48,34.6667,138.95,288.35,57,1,14.55
207,Anamur,TR,2021-11-23 05:45:49,36.0751,32.8369,288.16,64,19,3.0
208,Praia Da Vitoria,PT,2021-11-23 05:45:49,38.7333,-27.0667,291.29,94,40,5.65
209,Bengkulu,ID,2021-11-23 05:45:49,-3.8004,102.2655,301.09,68,93,2.74
210,Monrovia,LR,2021-11-23 05:45:50,6.3005,-10.7969,297.02,89,21,2.52
211,Chateauneuf-Les-Martigues,FR,2021-11-23 05:45:50,43.3833,5.1667,286.22,90,0,1.54
212,Oyem,GA,2021-11-23 05:45:51,1.5995,11.5793,293.07,97,58,0.68
213,Zhangjiakou,CN,2021-11-23 05:45:51,40.81,114.8794,273.32,33,1,3.95
214,Deori,IN,2021-11-23 05:45:52,21.45,82.6167,303.01,41,5,2.03
215,Tondano,ID,2021-11-23 05:45:52,1.3038,124.9112,300.2,79,93,1.23
216,At-Bashi,KG,2021-11-23 05:45:52,41.1702,75.8106,273.55,40,2,0.39
217,Airai,TL,2021-11-23 05:45:53,-8.9266,125.4092,296.08,63,79,0.73
218,Bubaque,GW,2021-11-23 05:45:53,11.2833,-15.8333,300.93,76,5,2.34
219,Luanda,AO,2021-11-23 05:45:54,-8.8368,13.2343,299.15,83,75,3.09
220,Tarboro,US,2021-11-23 05:45:54,35.8968,-77.5358,280.14,70,90,3.6
221,Ilulissat,GL,2021-11-23 05:37:36,69.2167,-51.1,265.16,57,20,5.66
222,Hatillo,PR,2021-11-23 05:45:55,18.4863,-66.8254,297.63,90,98,1.87
223,Sumenep,ID,2021-11-23 05:45:56,-7.0167,113.8667,303.5,67,98,1.6
224,Pekalongan,ID,2021-11-23 05:46:56,-6.8886,109.6753,302.6,70,87,2.6
225,Kyra,RU,2021-11-23 05:46:57,49.5776,111.9753,264.83,63,3,0.7
226,Mikuni,JP,2021-11-23 05:46:57,36.2171,136.1519,281.1,67,98,11.65
227,Atlantic City,US,2021-11-23 05:46:58,39.3643,-74.4229,276.47,56,67,8.8
228,Valpacos,PT,2021-11-23 05:46:58,41.6075,-7.3109,279.67,91,100,1.49
229,Umm Lajj,SA,2021-11-23 05:46:59,25.0213,37.2685,296.81,30,2,5.15
230,Souillac,MU,2021-11-23 05:46:59,-20.5167,57.5167,301.13,69,40,3.09
231,Krasnoselkup,RU,2021-11-23 05:42:42,65.7,82.4667,267.99,96,99,5.78
